名稱,縣市,鄉鎮市區,WGS_X,WGS_Y
象山,新北市,瑞芳/貢寮區,121.575542,25.0265411
猴山岳前峰,新北市,瑞芳/貢寮區,121.5992841,24.9786597
鵝角格山,新北市,瑞芳/貢寮區,121.5856855,24.9632171
半屏山南峰,屏東縣,霧台鄉,120.3102871,22.6983656
玉山北峰,臺東縣,海端鄉,120.9594971,23.4875704
玉山南峰,臺東縣,海端鄉,120.9589514,23.4465941
玉山東峰,臺東縣,海端鄉,120.9651927,23.4707431
玉山前峰,臺東縣,海端鄉,120.9176632,23.4755783
三叉山,臺東縣,海端鄉,121.0286649,23.2971931
東郡大山,花蓮縣,秀林鄉,121.0918666,23.6268066
天王峰,新北市,瑞芳/貢寮區,121.6816251,24.9938561
皇帝殿東峰,新北市,瑞芳/貢寮區,121.6879361,24.9953431
紗帽山,新北市,瑞芳/貢寮區,121.5433455,25.1484373
七股山,新北市,瑞芳/貢寮區,121.5656867,25.1717767
竹子山,新北市,瑞芳/貢寮區,121.563403,25.2141148
溪子口山,新北市,瑞芳/貢寮區,121.5487151,24.9925581
中埔山,新北市,瑞芳/貢寮區,121.5552355,25.0116922
待老坑山,新北市,瑞芳/貢寮區,121.5744771,24.9668463
孝子山,新北市,瑞芳/貢寮區,121.7397046,25.0200487
中央尖,新北市,瑞芳/貢寮區,121.7389863,25.0141824
臭頭山,新北市,瑞芳/貢寮區,121.736369,25.0106501
九龍山,新北市,瑞芳/貢寮區,121.7260777,25.0153517
石筍尖,新北市,瑞芳/貢寮區,121.721217,25.0309311
赫山,新北市,瑞芳/貢寮區,121.724942,25.0346811
普陀山,新北市,瑞芳/貢寮區,121.7381218,25.0196077
白鷺鷥山,新北市,瑞芳/貢寮區,121.6040929,25.0784251
康樂山,新北市,瑞芳/貢寮區,121.6133651,25.080441
合歡山北峰,南投縣,仁愛鄉,121.2815943,24.1815125
石門山,南投縣,仁愛鄉,121.2845461,24.1524223
奧本嶺,屏東縣,霧台鄉,121.5669571,22.0291651
內溝山,新北市,瑞芳/貢寮區,121.6273762,25.0890663
志繼山,新北市,瑞芳/貢寮區,121.4088186,24.840673
東眼山,新北市,瑞芳/貢寮區,121.418253,24.8249811
大崙尾山,新北市,瑞芳/貢寮區,121.5735185,25.1063845
剪刀石山,新北市,瑞芳/貢寮區,121.5709417,25.0932681
九五峰,新北市,瑞芳/貢寮區,121.5864497,25.0262261
李崠山,新北市,烏來區,121.3036444,24.6926375
加里山,桃園市,復興區,121.0124262,24.5108062
馬那邦山,臺中市,和平區,120.9138043,24.3672314
拇指山,新北市,瑞芳/貢寮區,121.584356,25.020531
大屯山西峰,新北市,瑞芳/貢寮區,121.5135252,25.1710626
大屯山南峰,新北市,瑞芳/貢寮區,121.51768,25.1698431
大屯山,新北市,瑞芳/貢寮區,121.5221914,25.1787406
北稜角,南投縣,仁愛鄉,121.2311408,24.3875106
北插天山,新北市,烏來區,121.4526429,24.7920212
劍山,臺中市,和平區,121.1703157,24.2954923
大劍山,南投縣,仁愛鄉,121.2005007,24.3409271
3167峰,臺中市,和平區,121.1951071,24.3141351
油婆蘭山,南投縣,仁愛鄉,121.2052858,24.3220553
布佚奇寒山,臺中市,和平區,121.1984681,24.3169499
佳陽山,臺中市,和平區,121.1879968,24.3066288
伊澤山,南投縣,仁愛鄉,121.243612,24.4699811
池有山,南投縣,仁愛鄉,121.288154,24.4310981
小霸尖山,南投縣,仁愛鄉,121.2521217,24.4555996
加利山,南投縣,仁愛鄉,121.2162003,24.4594767
下橫坑山,桃園市,復興區,121.1376279,24.7651451
尖山,高雄市,桃源區,120.4020518,23.2423184
角秀山,高雄市,桃源區,120.339454,23.2054218
合歡山,南投縣,仁愛鄉,121.2711951,24.1426062
未命名山峰,新北市,瑞芳/貢寮區,121.593657,25.1150792
大崙頭山,新北市,瑞芳/貢寮區,121.5853232,25.1088307
將軍山,高雄市,桃源區,120.4518341,23.4057084
高梘頭山,桃園市,復興區,121.0845367,24.7789311
南中寮山最高峰,高雄市,桃源區,120.418046,22.8084487
鹽山頂,高雄市,桃源區,120.1001216,23.1542147
眺望崠,新北市,烏來區,121.2087292,24.7934215
魁斗山,高雄市,桃源區,120.2394542,22.9734293
口埤山,高雄市,桃源區,120.350729,23.0226501
虎頭山,高雄市,桃源區,120.336957,23.0290321
尖山,新北市,瑞芳/貢寮區,121.523518,24.9879502
清水大尖山,新北市,瑞芳/貢寮區,121.471016,24.9703241
牛埔頭山,新北市,瑞芳/貢寮區,121.479534,24.967605
和美山,新北市,瑞芳/貢寮區,121.5334049,24.9503501
灣潭山,新北市,瑞芳/貢寮區,121.539081,24.9446131
十七寮山,新北市,瑞芳/貢寮區,121.478916,24.9287321
塗潭山,新北市,瑞芳/貢寮區,121.512022,24.9391421
安坑山,新北市,瑞芳/貢寮區,121.4648651,24.9251951
安新山,新北市,瑞芳/貢寮區,121.458354,24.9273441
小坑山,新北市,瑞芳/貢寮區,121.518185,24.9169931
猴洞尖,新北市,瑞芳/貢寮區,121.5079111,24.8996221
獅仔頭山,新北市,瑞芳/貢寮區,121.4911681,24.9047102
磺窟山,新北市,瑞芳/貢寮區,121.5041052,24.9331479
竹坑山北峰,新北市,瑞芳/貢寮區,121.4751571,24.8861941
竹崙山,新北市,瑞芳/貢寮區,121.456232,24.9083471
粽串尖,新北市,瑞芳/貢寮區,121.4883587,24.9117261
雙港子山,新北市,瑞芳/貢寮區,121.4617268,24.9027274
